,Year,State,County,Deaths,Population,Mortality Rate
0,2003,CA,Alameda County,124.0,1454163.0,8.527242131728012e-05
1,2003,CA,Butte County,40.0,211481.0,0.00018914228701396343
2,2003,CA,Contra Costa County,64.0,987531.0,6.480809210039989e-05
3,2003,CA,El Dorado County,10.0,168331.0,5.9406764054155204e-05
4,2003,CA,Fresno County,84.0,847193.0,9.91509608790441e-05
5,2003,CA,Humboldt County,38.0,129754.0,0.0002928618770904943
6,2003,CA,Kern County,110.0,714272.0,0.00015400295685677164
7,2003,CA,Los Angeles County,862.0,9767145.0,8.825506327591123e-05
8,2003,CA,Madera County,14.0,132738.0,0.00010547092769214542
9,2003,CA,Marin County,19.0,245054.0,7.75339312967754e-05
10,2003,CA,Mendocino County,15.0,88140.0,0.00017018379850238256
11,2003,CA,Merced County,18.0,231735.0,7.767493041620816e-05
12,2003,CA,Monterey County,29.0,409725.0,7.077918115809384e-05
13,2003,CA,Napa County,13.0,130138.0,9.989395872074259e-05
14,2003,CA,Orange County,228.0,2929376.0,7.783227554264116e-05
15,2003,CA,Placer County,28.0,290726.0,9.63106154936263e-05
16,2003,CA,Riverside County,174.0,1771656.0,9.821319714436663e-05
17,2003,CA,Sacramento County,168.0,1328531.0,0.00012645546095650008
18,2003,CA,San Bernardino County,167.0,1846115.0,9.046023676748199e-05
19,2003,CA,San Diego County,305.0,2914702.0,0.00010464191536561885
20,2003,CA,San Francisco County,147.0,766160.0,0.00019186592878772058
21,2003,CA,San Joaquin County,67.0,626778.0,0.00010689590253646426
22,2003,CA,San Luis Obispo County,10.0,254674.0,3.926588501378232e-05
23,2003,CA,San Mateo County,51.0,693057.0,7.358702098095828e-05
24,2003,CA,Santa Barbara County,44.0,406810.0,0.0001081585998377621
25,2003,CA,Santa Clara County,78.0,1663592.0,4.6886496208204894e-05
26,2003,CA,Santa Cruz County,32.0,253021.0,0.0001264717157864367
27,2003,CA,Shasta County,31.0,173202.0,0.00017898176695419223
28,2003,CA,Solano County,29.0,408409.0,7.100725008508627e-05
29,2003,CA,Sonoma County,42.0,466489.0,9.003427733558562e-05
30,2003,CA,Stanislaus County,82.0,487357.0,0.00016825448285343189
31,2003,CA,Tulare County,31.0,388743.0,7.974420118175761e-05
