,Year,State,County,Deaths,Population,Mortality Rate
0,2003,CO,Adams County,42.0,377464.0,0.00011126888921857448
1,2003,CO,Arapahoe County,45.0,513690.0,8.760147170472464e-05
2,2003,CO,Boulder County,20.0,278768.0,7.174424611146185e-05
3,2003,CO,Denver County,107.0,552588.0,0.0001936343170680507
4,2003,CO,El Paso County,53.0,547549.0,9.67949900374213e-05
5,2003,CO,Jefferson County,50.0,524940.0,9.524898083590506e-05
6,2003,CO,Larimer County,23.0,268448.0,8.567767314340208e-05
7,2003,CO,Pueblo County,10.0,147907.0,6.76100522625704e-05
8,2003,CO,Weld County,11.0,208858.0,5.266736251424413e-05
9,2004,CO,Adams County,46.0,384809.0,0.00011953982365277319
10,2004,CO,Arapahoe County,65.0,518971.0,0.00012524784621876752
11,2004,CO,Boulder County,20.0,279728.0,7.149802665446433e-05
12,2004,CO,Denver County,111.0,550756.0,0.00020154115434057912
13,2004,CO,El Paso County,60.0,556667.0,0.00010778436659618766
14,2004,CO,Jefferson County,40.0,520900.0,7.679017085813016e-05
15,2004,CO,Larimer County,28.0,271510.0,0.00010312695664984715
16,2005,CO,Adams County,63.0,395146.0,0.00015943474057690069
17,2005,CO,Arapahoe County,54.0,524466.0,0.00010296186978755534
18,2005,CO,Boulder County,26.0,280241.0,9.277728811986825e-05
19,2005,CO,Denver County,140.0,551691.0,0.0002537652417748341
20,2005,CO,Douglas County,11.0,243112.0,4.524663529566619e-05
21,2005,CO,El Paso County,83.0,565800.0,0.00014669494521032166
22,2005,CO,Jefferson County,28.0,519675.0,5.3879828739115795e-05
23,2005,CO,Larimer County,12.0,275116.0,4.361796478576309e-05
24,2005,CO,Pueblo County,21.0,149825.0,0.00014016352411146338
25,2006,CO,Adams County,62.0,406575.0,0.00015249338990346186
26,2006,CO,Arapahoe County,66.0,531619.0,0.00012414906164000912
27,2006,CO,Boulder County,40.0,284243.0,0.00014072466164514165
28,2006,CO,Denver County,144.0,556895.0,0.0002585765718851848
29,2006,CO,Douglas County,19.0,256136.0,7.417934222444326e-05
30,2006,CO,El Paso County,68.0,580251.0,0.00011719066404021708
31,2006,CO,Jefferson County,22.0,521662.0,4.217290122723143e-05
32,2006,CO,Larimer County,35.0,280713.0,0.00012468250490714716
33,2006,CO,Pueblo County,25.0,152026.0,0.00016444555536552957
34,2007,CO,Adams County,70.0,415746.0,0.00016837203484820057
35,2007,CO,Arapahoe County,88.0,542039.0,0.0001623499416093676
36,2007,CO,Boulder County,33.0,287428.0,0.00011481136145399892
37,2007,CO,Denver County,148.0,564395.0,0.0002622276951425863
38,2007,CO,Douglas County,11.0,267177.0,4.1171208599542624e-05
39,2007,CO,El Paso County,74.0,586783.0,0.0001261113563276373
40,2007,CO,Jefferson County,70.0,524911.0,0.00013335594034036247
41,2007,CO,Larimer County,30.0,286112.0,0.00010485404317190471
42,2007,CO,Pueblo County,11.0,155121.0,7.091238452562838e-05
43,2007,CO,Weld County,21.0,237692.0,8.834962893155849e-05
44,2008,CO,Adams County,50.0,424913.0,0.00011767114679946248
45,2008,CO,Arapahoe County,90.0,552461.0,0.00016290742694959463
46,2008,CO,Boulder County,33.0,290859.0,0.00011345703588336617
47,2008,CO,Denver County,170.0,575721.0,0.0002952819160669838
48,2008,CO,El Paso County,88.0,597919.0,0.00014717712599867207
49,2008,CO,Jefferson County,62.0,529003.0,0.00011720160377162322
50,2008,CO,Larimer County,32.0,291650.0,0.00010972055546031202
51,2008,CO,Mesa County,10.0,143155.0,6.985435367259265e-05
52,2008,CO,Pueblo County,15.0,156748.0,9.569500089315335e-05
53,2008,CO,Weld County,15.0,243442.0,6.161631928755104e-05
54,2009,CO,Adams County,67.0,435700.0,0.00015377553362405324
55,2009,CO,Arapahoe County,90.0,563161.0,0.00015981220290467557
56,2009,CO,Boulder County,44.0,293190.0,0.00015007333128687881
57,2009,CO,Denver County,160.0,589011.0,0.0002716417859768324
58,2009,CO,Douglas County,20.0,281386.0,7.107674155786002e-05
59,2009,CO,El Paso County,80.0,608061.0,0.0001315657475154631
60,2009,CO,Jefferson County,44.0,531961.0,8.271283045185643e-05
61,2009,CO,Larimer County,30.0,296696.0,0.00010111359775662631
62,2009,CO,Mesa County,14.0,147851.0,9.468992431569621e-05
63,2009,CO,Pueblo County,14.0,157846.0,8.869404356144597e-05
64,2009,CO,Weld County,18.0,248193.0,7.252420495340319e-05
65,2010,CO,Adams County,53.0,443691.0,0.0001194525018537676
66,2010,CO,Arapahoe County,78.0,574747.0,0.00013571188714338656
67,2010,CO,Boulder County,16.0,295037.0,5.423048634578036e-05
68,2010,CO,Denver County,121.0,603359.0,0.00020054395475993563
69,2010,CO,Douglas County,14.0,286977.0,4.878439735588566e-05
70,2010,CO,El Paso County,77.0,627031.0,0.0001228009460457298
71,2010,CO,Jefferson County,55.0,535548.0,0.00010269854429481577
72,2010,CO,Larimer County,32.0,300441.0,0.0001065100968243349
73,2010,CO,Mesa County,11.0,146259.0,7.520904696463123e-05
74,2010,CO,Pueblo County,22.0,159390.0,0.00013802622498274673
75,2010,CO,Weld County,18.0,254207.0,7.08084356449665e-05
76,2011,CO,Adams County,88.0,452201.0,0.00019460372710365523
77,2011,CO,Arapahoe County,72.0,585968.0,0.00012287360401933212
78,2011,CO,Boulder County,38.0,299957.0,0.00012668482482489156
79,2011,CO,Denver County,163.0,620530.0,0.0002626786779043721
80,2011,CO,Douglas County,28.0,292548.0,9.571078934055267e-05
81,2011,CO,El Paso County,94.0,637305.0,0.00014749609684530955
82,2011,CO,Jefferson County,72.0,540506.0,0.00013320851202391833
83,2011,CO,Larimer County,43.0,305246.0,0.00014086998683029425
84,2011,CO,Mesa County,25.0,147174.0,0.0001698669601967739
85,2011,CO,Pueblo County,20.0,160184.0,0.000124856415122609
86,2011,CO,Weld County,31.0,258827.0,0.00011977112125087413
87,2012,CO,Adams County,91.0,460558.0,0.0001975864060552634
88,2012,CO,Arapahoe County,78.0,596500.0,0.00013076278290025147
89,2012,CO,Boulder County,34.0,304570.0,0.00011163279377483009
90,2012,CO,Denver County,120.0,635163.0,0.0001889278815044327
91,2012,CO,Douglas County,20.0,298708.0,6.695501961782075e-05
92,2012,CO,El Paso County,96.0,646003.0,0.00014860612102420576
93,2012,CO,Jefferson County,75.0,546602.0,0.00013721135305029986
94,2012,CO,Larimer County,31.0,310842.0,9.972912283410864e-05
95,2012,CO,Mesa County,14.0,147317.0,9.503315978468201e-05
96,2012,CO,Pueblo County,34.0,160721.0,0.00021154671760379787
97,2012,CO,Weld County,19.0,264131.0,7.193400244575609e-05
98,2013,CO,Adams County,78.0,469978.0,0.00016596521539306096
99,2013,CO,Arapahoe County,97.0,608467.0,0.0001594170267245389
100,2013,CO,Boulder County,54.0,309323.0,0.00017457479721844156
101,2013,CO,Denver County,116.0,649391.0,0.00017862890000015398
102,2013,CO,Douglas County,27.0,306234.0,8.816787162757891e-05
103,2013,CO,El Paso County,107.0,655209.0,0.00016330667008542313
104,2013,CO,Jefferson County,75.0,552031.0,0.00013586193528986596
105,2013,CO,Larimer County,58.0,316225.0,0.0001834137085935647
106,2013,CO,Mesa County,14.0,147175.0,9.512485136741974e-05
107,2013,CO,Pueblo County,33.0,161033.0,0.00020492694044077923
108,2013,CO,Weld County,20.0,270165.0,7.402883423093295e-05
109,2014,CO,Adams County,88.0,479946.0,0.0001833539606539069
110,2014,CO,Arapahoe County,99.0,619034.0,0.0001599265953081737
111,2014,CO,Boulder County,33.0,312233.0,0.00010569030179385267
112,2014,CO,Denver County,130.0,664582.0,0.00019561167771621862
113,2014,CO,Douglas County,15.0,314545.0,4.768793018487021e-05
114,2014,CO,El Paso County,132.0,663129.0,0.00019905629221463698
115,2014,CO,Jefferson County,80.0,558819.0,0.00014315905507865696
116,2014,CO,Larimer County,54.0,324008.0,0.00016666255154193724
117,2014,CO,Mesa County,17.0,147113.0,0.00011555742864328781
118,2014,CO,Pueblo County,37.0,161356.0,0.00022930662634175364
119,2014,CO,Weld County,29.0,277112.0,0.00010465082710239903
120,2015,CO,Adams County,84.0,490443.0,0.0001712737259987399
121,2015,CO,Arapahoe County,98.0,630984.0,0.0001553129714858063
122,2015,CO,Boulder County,32.0,318027.0,0.0001006203875771554
123,2015,CO,Denver County,107.0,683285.0,0.00015659644218737423
124,2015,CO,Douglas County,18.0,322025.0,5.5896281344616104e-05
125,2015,CO,El Paso County,143.0,674001.0,0.00021216585732068647
126,2015,CO,Jefferson County,85.0,564888.0,0.0001504723060146436
127,2015,CO,Larimer County,40.0,333303.0,0.00012001092099381044
128,2015,CO,Las Animas County,11.0,14043.0,0.0007833084098839279
129,2015,CO,Mesa County,26.0,148025.0,0.00017564600574227325
130,2015,CO,Pueblo County,44.0,163006.0,0.0002699287142804559
131,2015,CO,Weld County,39.0,285819.0,0.00013644999107826982
