,Year,State,County,Deaths,Population,Mortality Rate
0,2003, FL,Alachua County,11.0,227022.0,4.845345385028764e-05
1,2003, FL,Bay County,21.0,155044.0,0.00013544542194473828
2,2003, FL,Brevard County,97.0,504847.0,0.00019213741985195514
3,2003, FL,Broward County,230.0,1707543.0,0.00013469646152395576
4,2003, FL,Citrus County,16.0,126215.0,0.0001267678168205047
5,2003, FL,Clay County,16.0,155620.0,0.00010281454825857859
6,2003, FL,Collier County,29.0,285321.0,0.00010163990733244311
7,2003, FL,Duval County,127.0,809633.0,0.0001568611951340916
8,2003, FL,Escambia County,27.0,296603.0,9.103077177236913e-05
9,2003, FL,Hernando County,15.0,142686.0,0.00010512594087717085
10,2003, FL,Highlands County,10.0,90943.0,0.00010995898529848366
11,2003, FL,Hillsborough County,138.0,1077462.0,0.0001280787628705235
12,2003, FL,Indian River County,10.0,120450.0,8.302200083022001e-05
13,2003, FL,Lake County,17.0,241489.0,7.039658121073837e-05
14,2003, FL,Lee County,77.0,497662.0,0.00015472348702533044
15,2003, FL,Leon County,11.0,250673.0,4.3881870005944e-05
16,2003, FL,Manatee County,42.0,287000.0,0.00014634146341463414
17,2003, FL,Marion County,43.0,280091.0,0.0001535215340728549
18,2003, FL,Martin County,15.0,136598.0,0.0001098112710288584
19,2003, FL,Miami-Dade County,111.0,2336070.0,4.7515699443937896e-05
20,2003, FL,Monroe County,17.0,78497.0,0.00021656878606825738
21,2003, FL,Okaloosa County,20.0,177649.0,0.00011258155126119483
22,2003, FL,Orange County,83.0,979227.0,8.476073474281244e-05
23,2003, FL,Osceola County,12.0,202687.0,5.920458638195839e-05
24,2003, FL,Palm Beach County,199.0,1218100.0,0.00016336918151219112
25,2003, FL,Pasco County,62.0,383238.0,0.00016177936425928536
26,2003, FL,Pinellas County,135.0,926266.0,0.00014574647023641156
27,2003, FL,Polk County,42.0,513058.0,8.186208966627555e-05
28,2003, FL,Santa Rosa County,21.0,131463.0,0.00015974076356084981
29,2003, FL,Sarasota County,62.0,347862.0,0.00017823159758754907
30,2003, FL,Seminole County,33.0,388141.0,8.50206497123468e-05
31,2003, FL,St. Lucie County,21.0,214924.0,9.770895758500679e-05
32,2003, FL,Volusia County,48.0,466074.0,0.00010298793753781588
33,2004, FL,Bay County,18.0,158804.0,0.00011334727084960076
34,2004, FL,Brevard County,111.0,518722.0,0.0002139874537806378
35,2004, FL,Broward County,287.0,1725461.0,0.00016633235987368014
36,2004, FL,Charlotte County,17.0,157755.0,0.00010776203606858737
37,2004, FL,Citrus County,12.0,129840.0,9.242144177449168e-05
38,2004, FL,Clay County,22.0,163238.0,0.00013477254070743333
39,2004, FL,Collier County,29.0,296021.0,9.796602268082331e-05
40,2004, FL,Duval County,109.0,820070.0,0.00013291548282463693
41,2004, FL,Escambia County,33.0,298225.0,0.00011065470701651437
42,2004, FL,Hernando County,14.0,149593.0,9.358726678387358e-05
43,2004, FL,Hillsborough County,146.0,1108225.0,0.00013174220036544926
44,2004, FL,Indian River County,10.0,125001.0,7.999936000511996e-05
45,2004, FL,Lake County,10.0,254625.0,3.9273441335297004e-05
