,Year,State,County,Deaths,Population,Mortality Rate
0,2003,MI,Calhoun County,15.0,138962.0,0.00010794317871072667
1,2003,MI,Genesee County,34.0,441689.0,7.697723964146718e-05
2,2003,MI,Ingham County,14.0,282183.0,4.961319427463738e-05
3,2003,MI,Kalamazoo County,11.0,243834.0,4.511265861200653e-05
4,2003,MI,Kent County,31.0,587790.0,5.273992412256078e-05
5,2003,MI,Macomb County,106.0,815982.0,0.0001299048263319534
6,2003,MI,Muskegon County,12.0,172269.0,6.965849920763457e-05
7,2003,MI,Oakland County,113.0,1201756.0,9.402907079307281e-05
8,2003,MI,Saginaw County,16.0,208755.0,7.664487078153816e-05
9,2003,MI,St. Clair County,11.0,167549.0,6.565243600379591e-05
10,2003,MI,Washtenaw County,15.0,336154.0,4.4622405207137206e-05
11,2003,MI,Wayne County,343.0,2006154.0,0.00017097391326887168
12,2004,MI,Calhoun County,23.0,139443.0,0.00016494194760583177
13,2004,MI,Genesee County,68.0,442534.0,0.00015366050970094954
14,2004,MI,Ingham County,23.0,283586.0,8.11041447744247e-05
15,2004,MI,Jackson County,13.0,162140.0,8.017762427531763e-05
16,2004,MI,Kalamazoo County,15.0,242505.0,6.185439475474733e-05
17,2004,MI,Kent County,34.0,589554.0,5.7670713793817024e-05
18,2004,MI,Macomb County,109.0,823418.0,0.000132375051310513
19,2004,MI,Muskegon County,12.0,172771.0,6.945610085025844e-05
20,2004,MI,Oakland County,121.0,1203812.0,0.00010051403375277867
21,2004,MI,Saginaw County,10.0,208489.0,4.796416117876722e-05
22,2004,MI,Washtenaw County,12.0,339422.0,3.53542198207541e-05
23,2004,MI,Wayne County,386.0,1983830.0,0.0001945731237051562
24,2005,MI,Berrien County,15.0,158510.0,9.4631253548672e-05
25,2005,MI,Calhoun County,14.0,138946.0,0.00010075856807680681
26,2005,MI,Genesee County,54.0,442508.0,0.00012203169208240304
27,2005,MI,Ingham County,19.0,282970.0,6.714492702406616e-05
28,2005,MI,Jackson County,12.0,163047.0,7.359841027433807e-05
29,2005,MI,Kalamazoo County,19.0,243259.0,7.810605157465911e-05
30,2005,MI,Kent County,39.0,592210.0,6.585501764576755e-05
31,2005,MI,Macomb County,146.0,828765.0,0.0001761657405899139
32,2005,MI,Monroe County,16.0,152374.0,0.00010500479084358224
33,2005,MI,Muskegon County,14.0,173608.0,8.06414450946961e-05
34,2005,MI,Oakland County,160.0,1203253.0,0.00013297286605560093
35,2005,MI,Saginaw County,12.0,207368.0,5.786813780332549e-05
36,2005,MI,St. Clair County,15.0,168209.0,8.917477661718458e-05
37,2005,MI,Washtenaw County,31.0,342234.0,9.058129817610174e-05
38,2005,MI,Wayne County,436.0,1960263.0,0.00022241913457530954
39,2006,MI,Bay County,13.0,108711.0,0.00011958311486418118
40,2006,MI,Berrien County,21.0,157537.0,0.000133302017938643
41,2006,MI,Calhoun County,22.0,138291.0,0.00015908482836916358
42,2006,MI,Genesee County,90.0,441164.0,0.00020400576656300152
43,2006,MI,Ingham County,17.0,282104.0,6.0261463857300855e-05
44,2006,MI,Jackson County,23.0,163387.0,0.0001407700735064601
45,2006,MI,Kalamazoo County,29.0,244178.0,0.00011876581837839609
46,2006,MI,Kent County,45.0,595191.0,7.560598194529151e-05
47,2006,MI,Livingston County,16.0,181620.0,8.80960246668869e-05
48,2006,MI,Macomb County,167.0,833328.0,0.00020040128256820842
49,2006,MI,Monroe County,23.0,153460.0,0.0001498761892349798
50,2006,MI,Muskegon County,15.0,173710.0,8.63508145760175e-05
51,2006,MI,Oakland County,200.0,1202256.0,0.00016635392129463276
52,2006,MI,Saginaw County,23.0,205822.0,0.00011174704356191272
53,2006,MI,St. Clair County,16.0,168312.0,9.506155235514996e-05
54,2006,MI,Washtenaw County,43.0,344018.0,0.00012499345964455349
55,2006,MI,Wayne County,491.0,1932490.0,0.00025407634709623337
56,2007,MI,Allegan County,17.0,111427.0,0.00015256625413948146
57,2007,MI,Bay County,12.0,108132.0,0.00011097547442015315
58,2007,MI,Berrien County,15.0,157378.0,9.531192415712489e-05
59,2007,MI,Calhoun County,25.0,137582.0,0.00018170981669113692
60,2007,MI,Eaton County,10.0,108358.0,9.228667934070396e-05
61,2007,MI,Genesee County,89.0,438109.0,0.0002031457924854317
62,2007,MI,Ingham County,24.0,281706.0,8.519520351004238e-05
63,2007,MI,Jackson County,16.0,163316.0,9.796958044527175e-05
64,2007,MI,Kalamazoo County,14.0,245431.0,5.704250889251969e-05
65,2007,MI,Kent County,62.0,598077.0,0.0001036655815221117
66,2007,MI,Livingston County,14.0,181903.0,7.69640962490998e-05
67,2007,MI,Macomb County,180.0,835703.0,0.00021538752403664938
68,2007,MI,Monroe County,29.0,153424.0,0.00018901866722285954
