,Year,State,County,Deaths,Population,Mortality Rate
0,2003,NM,Bernalillo County,144.0,587049.0,0.00024529468579283844
1,2003,NM,Chaves County,18.0,61248.0,0.0002938871473354232
2,2003,NM,Dona Ana County,19.0,,
3,2003,NM,Rio Arriba County,12.0,40416.0,0.0002969121140142518
4,2003,NM,San Juan County,12.0,121553.0,9.872236802053425e-05
5,2003,NM,Sandoval County,11.0,99350.0,0.00011071967790639154
6,2003,NM,Santa Fe County,24.0,135213.0,0.00017749772581038807
7,2003,NM,Valencia County,17.0,68850.0,0.0002469135802469136
8,2004,NM,Bernalillo County,128.0,600449.0,0.00021317380826681365
9,2004,NM,Chaves County,12.0,61478.0,0.00019519177591984123
10,2004,NM,Dona Ana County,17.0,,
11,2004,NM,Rio Arriba County,19.0,40342.0,0.000470973179316841
12,2004,NM,Santa Fe County,19.0,136391.0,0.00013930537938720296
13,2004,NM,Valencia County,15.0,69021.0,0.00021732516190724562
14,2005,NM,Bernalillo County,164.0,615320.0,0.000266527985438471
15,2005,NM,Chaves County,13.0,62172.0,0.00020909734285530463
16,2005,NM,Dona Ana County,18.0,,
17,2005,NM,Eddy County,11.0,50732.0,0.0002168256721595837
18,2005,NM,McKinley County,11.0,70666.0,0.00015566184586647043
19,2005,NM,Rio Arriba County,16.0,40198.0,0.00039802975272401614
20,2005,NM,Santa Fe County,18.0,137610.0,0.00013080444735120994
21,2005,NM,Valencia County,10.0,70093.0,0.00014266759876164524
22,2006,NM,Bernalillo County,171.0,628632.0,0.0002720192417821555
23,2006,NM,Chaves County,16.0,62486.0,0.0002560573568479339
24,2006,NM,Dona Ana County,26.0,,
25,2006,NM,Eddy County,12.0,51366.0,0.0002336175680411167
26,2006,NM,Otero County,11.0,62200.0,0.00017684887459807074
27,2006,NM,Rio Arriba County,18.0,40335.0,0.00044626255113425065
28,2006,NM,Sandoval County,11.0,114231.0,9.629610175871699e-05
29,2006,NM,Santa Fe County,20.0,138786.0,0.00014410675428357328
