,Year,State,County,Deaths,Population,Mortality Rate
0,2003,OR,Clackamas County,28.0,352032.0,7.953822379783656e-05
1,2003,OR,Douglas County,10.0,102776.0,9.729898030668639e-05
2,2003,OR,Jackson County,17.0,189838.0,8.955003740030973e-05
3,2003,OR,Lane County,18.0,330845.0,5.440614184890206e-05
4,2003,OR,Marion County,23.0,295317.0,7.788241110400011e-05
5,2003,OR,Multnomah County,147.0,679348.0,0.00021638394460571017
6,2003,OR,Washington County,17.0,474336.0,3.583957363556635e-05
7,2004,OR,Clackamas County,28.0,355758.0,7.870518723401863e-05
8,2004,OR,Jackson County,27.0,192185.0,0.00014048963238546194
9,2004,OR,Lane County,36.0,332327.0,0.00010832703933174253
10,2004,OR,Marion County,23.0,297139.0,7.74048509283534e-05
11,2004,OR,Multnomah County,146.0,672526.0,0.00021709197860008387
12,2004,OR,Washington County,18.0,480207.0,3.74838350961148e-05
13,2005,OR,Clackamas County,23.0,359308.0,6.401193405100917e-05
14,2005,OR,Jackson County,21.0,194701.0,0.00010785768948284806
15,2005,OR,Lane County,42.0,335831.0,0.00012506290366285424
16,2005,OR,Linn County,10.0,108132.0,9.247956201679429e-05
17,2005,OR,Marion County,26.0,299461.0,8.682265804228264e-05
18,2005,OR,Multnomah County,157.0,674862.0,0.00023264015457975112
19,2005,OR,Washington County,33.0,490773.0,6.724086288365496e-05
20,2006,OR,Clackamas County,34.0,363508.0,9.353301715505574e-05
21,2006,OR,Jackson County,42.0,196858.0,0.00021335175608814475
22,2006,OR,Lane County,50.0,339926.0,0.00014709083741755558
23,2006,OR,Linn County,10.0,110764.0,9.028204109638511e-05
24,2006,OR,Marion County,23.0,303290.0,7.583500939694681e-05
25,2006,OR,Multnomah County,165.0,683767.0,0.0002413102708963726
26,2006,OR,Washington County,25.0,502226.0,4.9778386622755495e-05
27,2007,OR,Clackamas County,32.0,366808.0,8.723910056487317e-05
28,2007,OR,Jackson County,10.0,199152.0,5.0212902707479716e-05
29,2007,OR,Josephine County,13.0,81746.0,0.00015902918797250018
30,2007,OR,Lane County,35.0,344844.0,0.0001014951688299637
31,2007,OR,Marion County,29.0,306964.0,9.447361905630627e-05
32,2007,OR,Multnomah County,178.0,697799.0,0.00025508778315818737
33,2007,OR,Washington County,37.0,508842.0,7.271412344106815e-05
