,Year,State,County,Deaths,Population,Mortality Rate
0,2007, TX,Bell County,10.0,287752.0,3.4752147682726795e-05
1,2007, TX,Bexar County,104.0,1615210.0,6.438791240767454e-05
2,2007, TX,Brazoria County,22.0,293296.0,7.500954666957613e-05
3,2007, TX,Cameron County,11.0,386306.0,2.8474836010830792e-05
4,2007, TX,Collin County,23.0,714330.0,3.219800372376913e-05
5,2007, TX,Dallas County,237.0,2291891.0,0.00010340805910926828
6,2007, TX,Denton County,32.0,609001.0,5.2545069712529206e-05
7,2007, TX,Ector County,21.0,130459.0,0.0001609701132156463
8,2007, TX,El Paso County,48.0,755578.0,6.352752462353324e-05
9,2007, TX,Fort Bend County,19.0,516564.0,3.6781502388861786e-05
10,2007, TX,Galveston County,49.0,283770.0,0.0001726750537407055
11,2007, TX,Harris County,528.0,3863344.0,0.0001366691653655486
12,2007, TX,Hidalgo County,19.0,715264.0,2.6563618468146027e-05
13,2007, TX,Jefferson County,27.0,247629.0,0.0001090340792072011
14,2007, TX,Liberty County,20.0,74515.0,0.0002684023351003154
15,2007, TX,Lubbock County,15.0,265215.0,5.655788699734178e-05
16,2007, TX,McLennan County,12.0,226741.0,5.2923820570606995e-05
17,2007, TX,Midland County,12.0,128954.0,9.30564387300898e-05
18,2007, TX,Montgomery County,58.0,411416.0,0.00014097652983841174
19,2007, TX,Nueces County,37.0,330512.0,0.00011194752384179697
20,2007, TX,Orange County,21.0,82255.0,0.00025530362895872594
21,2007, TX,San Patricio County,12.0,66723.0,0.00017984802841598848
22,2007, TX,Smith County,18.0,199953.0,9.002115497141828e-05
23,2007, TX,Tarrant County,142.0,1707157.0,8.317922721811761e-05
24,2007, TX,Taylor County,10.0,128503.0,7.781919488260975e-05
25,2007, TX,Travis County,108.0,955399.0,0.00011304177626311102
26,2007, TX,Webb County,17.0,234594.0,7.246562145664425e-05
27,2007, TX,Wichita County,13.0,130564.0,9.956802794032046e-05
28,2007, TX,Williamson County,17.0,373723.0,4.548823593945248e-05
29,2008, TX,Anderson County,10.0,57963.0,0.00017252385142245915
30,2008, TX,Bexar County,157.0,1651709.0,9.505306322118485e-05
31,2008, TX,Brazoria County,24.0,301336.0,7.96453128733374e-05
32,2008, TX,Brazos County,10.0,185098.0,5.4025435174880335e-05
33,2008, TX,Cameron County,15.0,393000.0,3.816793893129771e-05
34,2008, TX,Collin County,34.0,741264.0,4.5867599127976e-05
35,2008, TX,Cooke County,10.0,38223.0,0.00026162258326138714
36,2008, TX,Dallas County,195.0,2314018.0,8.426900741480835e-05
37,2008, TX,Denton County,39.0,630104.0,6.189454439267169e-05
38,2008, TX,Ector County,13.0,133064.0,9.76973486442614e-05
39,2008, TX,El Paso County,60.0,769930.0,7.792916239138623e-05
40,2008, TX,Fort Bend County,13.0,542957.0,2.3942964175800295e-05
41,2008, TX,Galveston County,37.0,288643.0,0.00012818602910862206
42,2008, TX,Harris County,326.0,3938580.0,8.277094790508255e-05
43,2008, TX,Hays County,11.0,147674.0,7.448840012459877e-05
44,2008, TX,Henderson County,10.0,78033.0,0.0001281509105122192
45,2008, TX,Hidalgo County,20.0,736694.0,2.714831395396189e-05
46,2008, TX,Hunt County,13.0,84447.0,0.0001539427096285244
47,2008, TX,Jefferson County,37.0,249430.0,0.0001483382111213567
48,2008, TX,Johnson County,13.0,148635.0,8.746257610926095e-05
49,2008, TX,Kaufman County,10.0,99285.0,0.00010072014906582061
50,2008, TX,Liberty County,13.0,74915.0,0.00017353000066742307
51,2008, TX,Lubbock County,18.0,268197.0,6.711484468506359e-05
52,2008, TX,Midland County,15.0,132502.0,0.00011320583840243921
53,2008, TX,Montgomery County,51.0,429818.0,0.00011865487252744185
54,2008, TX,Nueces County,40.0,333526.0,0.00011993068006692131
55,2008, TX,Orange County,20.0,82612.0,0.00024209557933472134
56,2008, TX,Parker County,10.0,112911.0,8.856533021583371e-05
57,2008, TX,Potter County,10.0,119740.0,8.351428094204109e-05
58,2008, TX,Smith County,19.0,203263.0,9.34749560913693e-05
59,2008, TX,Tarrant County,128.0,1745602.0,7.332713871776041e-05
60,2008, TX,Taylor County,13.0,128903.0,0.00010085102751681497
61,2008, TX,Travis County,78.0,980699.0,7.953510710217917e-05
62,2008, TX,Webb County,20.0,240287.0,8.323379958133399e-05
63,2008, TX,Wichita County,29.0,130340.0,0.0002224950130428111
64,2008, TX,Williamson County,18.0,395437.0,4.551926096950968e-05
65,2009, TX,Bell County,11.0,301050.0,3.653878093339977e-05
66,2009, TX,Bexar County,197.0,1685628.0,0.00011687038895889248
67,2009, TX,Brazoria County,37.0,309236.0,0.00011964971736796492
68,2009, TX,Cameron County,18.0,400303.0,4.496593830173643e-05
69,2009, TX,Collin County,55.0,765791.0,7.182116269321525e-05
70,2009, TX,Dallas County,216.0,2346378.0,9.205677857531907e-05
71,2009, TX,Denton County,37.0,649702.0,5.694918593447458e-05
72,2009, TX,Ector County,13.0,136930.0,9.493901993719418e-05
73,2009, TX,El Paso County,55.0,786759.0,6.990704904551458e-05
74,2009, TX,Fort Bend County,25.0,569130.0,4.392669513116511e-05
75,2009, TX,Galveston County,34.0,287428.0,0.0001182904936192716
76,2009, TX,Grayson County,17.0,120069.0,0.0001415852551449583
77,2009, TX,Gregg County,13.0,121238.0,0.0001072271070126528
78,2009, TX,Guadalupe County,11.0,128265.0,8.575995010330176e-05
79,2009, TX,Hardin County,11.0,54228.0,0.0002028472375894372
80,2009, TX,Harris County,422.0,4034866.0,0.00010458835559842631
81,2009, TX,Hidalgo County,18.0,757468.0,2.3763380103185878e-05
82,2009, TX,Jefferson County,30.0,251332.0,0.00011936402845638439
83,2009, TX,Liberty County,16.0,75041.0,0.00021321677482975972
84,2009, TX,Lubbock County,18.0,274252.0,6.563306739786766e-05
85,2009, TX,McLennan County,12.0,231679.0,5.1795803676638797e-05
86,2009, TX,Montgomery County,54.0,445836.0,0.00012112077086641725
87,2009, TX,Nueces County,53.0,338220.0,0.00015670273786292947
88,2009, TX,Orange County,29.0,81586.0,0.0003554531414703503
89,2009, TX,Parker County,20.0,115802.0,0.00017270858879812092
90,2009, TX,Polk County,11.0,45537.0,0.0002415618068823155
91,2009, TX,Smith County,27.0,207111.0,0.00013036487680519141
92,2009, TX,Tarrant County,149.0,1784078.0,8.351652786481309e-05
93,2009, TX,Taylor County,12.0,130247.0,9.213264029113914e-05
94,2009, TX,Tom Green County,10.0,108879.0,9.184507572626494e-05
95,2009, TX,Travis County,115.0,1006503.0,0.00011425698681474371
96,2009, TX,Victoria County,10.0,86635.0,0.00011542679055808853
97,2009, TX,Webb County,28.0,245908.0,0.00011386372139174
98,2009, TX,Wichita County,26.0,130913.0,0.00019860518053974778
