,Year,State,County,Deaths,Population,Mortality Rate
0,2003, TX,Bexar County,163.0,1469623.0,0.00011091279872457086
1,2003, TX,Brazoria County,13.0,261269.0,4.975714684865024e-05
2,2003, TX,Collin County,26.0,589394.0,4.4113106003793724e-05
3,2003, TX,Comal County,10.0,84837.0,0.00011787309782288388
4,2003, TX,Dallas County,199.0,2246432.0,8.858492044272874e-05
5,2003, TX,Denton County,18.0,509732.0,3.531267411110152e-05
6,2003, TX,Ector County,15.0,122739.0,0.00012221054432576443
7,2003, TX,El Paso County,52.0,705200.0,7.37379466817924e-05
8,2003, TX,Fort Bend County,11.0,418747.0,2.6268844911127722e-05
9,2003, TX,Galveston County,27.0,265269.0,0.0001017834726259005
10,2003, TX,Harris County,337.0,3586133.0,9.39730902339651e-05
11,2003, TX,Jefferson County,16.0,250183.0,6.395318626765208e-05
12,2003, TX,Lubbock County,14.0,253388.0,5.5251235259759736e-05
13,2003, TX,Montgomery County,57.0,341499.0,0.00016691117689949313
14,2003, TX,Nueces County,37.0,317632.0,0.00011648700382832965
15,2003, TX,Orange County,17.0,83553.0,0.00020346366976649552
16,2003, TX,Parker County,13.0,97041.0,0.00013396399460022053
17,2003, TX,Tarrant County,151.0,1553086.0,9.722578144416986e-05
18,2003, TX,Taylor County,15.0,125542.0,0.00011948192636727151
19,2003, TX,Tom Green County,12.0,104330.0,0.00011501964919006996
20,2003, TX,Travis County,89.0,856315.0,0.00010393371598068468
21,2003, TX,Webb County,10.0,211786.0,4.72174742428678e-05
22,2003, TX,Wichita County,16.0,130411.0,0.00012268903696774046
23,2003, TX,Williamson County,11.0,302895.0,3.631621519008237e-05
24,2004, TX,Anderson County,11.0,56245.0,0.0001955729398168726
25,2004, TX,Bexar County,168.0,1500919.0,0.00011193142334796215
26,2004, TX,Brazoria County,19.0,268051.0,7.088203364285154e-05
27,2004, TX,Cameron County,16.0,366299.0,4.3680162927007716e-05
28,2004, TX,Collin County,40.0,617802.0,6.474566284990984e-05
29,2004, TX,Dallas County,198.0,2244020.0,8.823450771383499e-05
30,2004, TX,Denton County,18.0,529811.0,3.39743795428936e-05
31,2004, TX,Ector County,11.0,124163.0,8.859322020247578e-05
32,2004, TX,El Paso County,26.0,717652.0,3.622925874936599e-05
33,2004, TX,Galveston County,29.0,269760.0,0.00010750296559905101
34,2004, TX,Harris County,385.0,3630185.0,0.000106055201043473
35,2004, TX,Hidalgo County,11.0,653779.0,1.682525746467843e-05
36,2004, TX,Jefferson County,17.0,250638.0,6.78269057365603e-05
37,2004, TX,Lubbock County,17.0,255669.0,6.649222236563682e-05
38,2004, TX,McLennan County,11.0,221353.0,4.9694379565671125e-05
39,2004, TX,Montgomery County,28.0,357607.0,7.829824360261405e-05
40,2004, TX,Nueces County,29.0,321879.0,9.009596773943004e-05
41,2004, TX,Orange County,18.0,83580.0,0.00021536252692031587
42,2004, TX,Parker County,10.0,99320.0,0.00010068465565847765
43,2004, TX,Smith County,15.0,187300.0,8.00854244527496e-05
44,2004, TX,Tarrant County,121.0,1580595.0,7.65534498084582e-05
45,2004, TX,Taylor County,10.0,126702.0,7.892535240169847e-05
46,2004, TX,Travis County,91.0,870809.0,0.00010450052767024686
47,2004, TX,Webb County,10.0,217858.0,4.590145874835902e-05
48,2004, TX,Wichita County,12.0,131677.0,9.113208836774835e-05
49,2004, TX,Williamson County,12.0,316532.0,3.7910858933693906e-05
50,2005, TX,Bell County,10.0,266017.0,3.75915824928482e-05
51,2005, TX,Bexar County,202.0,1529270.0,0.0001320891667266081
52,2005, TX,Brazoria County,31.0,274336.0,0.0001130001166452817
53,2005, TX,Cameron County,19.0,373429.0,5.087981918918991e-05
54,2005, TX,Collin County,32.0,647187.0,4.944475089889012e-05
55,2005, TX,Dallas County,242.0,2250830.0,0.00010751589413682952
56,2005, TX,Denton County,32.0,553669.0,5.7796264555176465e-05
57,2005, TX,Ector County,12.0,125378.0,9.571057123259264e-05
58,2005, TX,El Paso County,40.0,728095.0,5.493788585280767e-05
59,2005, TX,Fort Bend County,13.0,462953.0,2.808060429460442e-05
60,2005, TX,Galveston County,44.0,274806.0,0.00016011295241006383
61,2005, TX,Gregg County,13.0,115402.0,0.00011264969411275368
62,2005, TX,Hardin County,10.0,51141.0,0.00019553782679259302
63,2005, TX,Harris County,364.0,3681829.0,9.886390704185339e-05
64,2005, TX,Hidalgo County,10.0,674982.0,1.481520988707847e-05
65,2005, TX,Jefferson County,25.0,250849.0,9.966154937831126e-05
66,2005, TX,Lubbock County,22.0,257779.0,8.534442293592573e-05
67,2005, TX,McLennan County,10.0,222794.0,4.488451215023744e-05
68,2005, TX,Midland County,11.0,122516.0,8.978419145254497e-05
69,2005, TX,Montgomery County,41.0,372541.0,0.00011005500065764573
70,2005, TX,Nueces County,37.0,325515.0,0.00011366603689538117
71,2005, TX,Orange County,19.0,83500.0,0.0002275449101796407
72,2005, TX,Tarrant County,119.0,1612048.0,7.381914186178079e-05
73,2005, TX,Taylor County,11.0,127248.0,8.644536652835408e-05
74,2005, TX,Tom Green County,10.0,104974.0,9.526168384552366e-05
75,2005, TX,Travis County,84.0,891266.0,9.424795739992325e-05
76,2005, TX,Webb County,13.0,223703.0,5.8112765586514264e-05
77,2005, TX,Wichita County,15.0,130767.0,0.0001147078391337264
78,2005, TX,Williamson County,14.0,332169.0,4.214722024029937e-05
79,2006, TX,Anderson County,10.0,57386.0,0.0001742585299550413
80,2006, TX,Aransas County,10.0,23395.0,0.00042744176106005556
81,2006, TX,Bell County,10.0,273771.0,3.6526878303399555e-05
82,2006, TX,Bexar County,191.0,1573935.0,0.00012135189826771753
83,2006, TX,Brazoria County,27.0,284248.0,9.498747572542287e-05
84,2006, TX,Collin County,24.0,683935.0,3.509105397442739e-05
85,2006, TX,Comal County,15.0,95637.0,0.00015684306283133097
86,2006, TX,Dallas County,237.0,2275434.0,0.00010415595442451858
87,2006, TX,Denton County,25.0,584561.0,4.276713636386964e-05
88,2006, TX,Ector County,22.0,127476.0,0.00017258150553829741
89,2006, TX,El Paso County,70.0,744795.0,9.39855933511906e-05
90,2006, TX,Fort Bend County,18.0,490916.0,3.666615062454677e-05
91,2006, TX,Galveston County,49.0,279182.0,0.00017551274795653014
92,2006, TX,Grayson County,11.0,117174.0,9.387748135251848e-05
93,2006, TX,Guadalupe County,10.0,111878.0,8.938307799567387e-05
94,2006, TX,Harris County,427.0,3807435.0,0.00011214899269455683
95,2006, TX,Hidalgo County,10.0,695352.0,1.4381205490169007e-05
96,2006, TX,Jefferson County,51.0,245962.0,0.00020734910270692221
97,2006, TX,Johnson County,10.0,142501.0,7.017494614072884e-05
98,2006, TX,Liberty County,12.0,74269.0,0.00016157481587203274
99,2006, TX,Lubbock County,18.0,261761.0,6.876501847104801e-05
100,2006, TX,McLennan County,15.0,224452.0,6.682943346461604e-05
101,2006, TX,Midland County,11.0,125844.0,8.740980896983568e-05
102,2006, TX,Montgomery County,73.0,392497.0,0.00018598868271604624
103,2006, TX,Nueces County,59.0,329113.0,0.0001792697341034842
104,2006, TX,Orange County,34.0,81687.0,0.00041622289960458825
105,2006, TX,Polk County,13.0,45495.0,0.00028574568633915815
106,2006, TX,Smith County,23.0,196124.0,0.00011727274581387286
107,2006, TX,Tarrant County,117.0,1662005.0,7.039690012966267e-05
108,2006, TX,Tom Green County,10.0,106125.0,9.422850412249705e-05
109,2006, TX,Travis County,99.0,925151.0,0.0001070095584396493
110,2006, TX,Wichita County,19.0,131376.0,0.00014462306661795153
111,2006, TX,Williamson County,23.0,351970.0,6.534647839304486e-05
