,Year,State,County,Deaths,Population,Mortality Rate
0,2003, WA,Benton County,10.0,153596.0,6.510586213182635e-05
1,2003, WA,Clark County,40.0,374098.0,0.00010692385417724767
2,2003, WA,King County,205.0,1763440.0,0.00011625005670734473
3,2003, WA,Kitsap County,23.0,239758.0,9.593006281333678e-05
4,2003, WA,Pierce County,87.0,733969.0,0.00011853361654238802
5,2003, WA,Skagit County,12.0,107369.0,0.00011176410323277668
6,2003, WA,Snohomish County,76.0,635612.0,0.0001195698004442962
7,2003, WA,Spokane County,74.0,430710.0,0.00017180933806969887
8,2003, WA,Thurston County,17.0,219499.0,7.744909999589975e-05
9,2003, WA,Whatcom County,14.0,177851.0,7.871757819747991e-05
10,2003, WA,Yakima County,10.0,225161.0,4.441266471547026e-05
11,2004, WA,Benton County,12.0,155689.0,7.707673631406201e-05
12,2004, WA,Clallam County,11.0,67411.0,0.00016317811633116257
13,2004, WA,Clark County,27.0,384931.0,7.014244111282282e-05
14,2004, WA,Cowlitz County,17.0,95541.0,0.0001779340806564721
15,2004, WA,Grant County,14.0,78734.0,0.00017781390504737472
16,2004, WA,Grays Harbor County,17.0,69775.0,0.00024364027230383374
17,2004, WA,King County,245.0,1775297.0,0.00013800507746027847
18,2004, WA,Kitsap County,16.0,241960.0,6.612663250123987e-05
19,2004, WA,Pierce County,72.0,740137.0,9.727928748326323e-05
20,2004, WA,Skagit County,13.0,109030.0,0.000119233238558195
21,2004, WA,Snohomish County,100.0,643533.0,0.0001553921865700749
22,2004, WA,Spokane County,78.0,435268.0,0.00017919994118566034
23,2004, WA,Thurston County,20.0,222985.0,8.969213175774155e-05
24,2004, WA,Whatcom County,12.0,181756.0,6.602257972226501e-05
25,2004, WA,Yakima County,29.0,227280.0,0.0001275959169306582
26,2005, WA,Benton County,13.0,157726.0,8.242141435147027e-05
27,2005, WA,Clallam County,10.0,68720.0,0.00014551804423748544
28,2005, WA,Clark County,40.0,394277.0,0.00010145151758788872
29,2005, WA,Cowlitz County,24.0,96536.0,0.00024861191679787854
30,2005, WA,Grant County,13.0,79531.0,0.00016345827413209943
31,2005, WA,King County,242.0,1795268.0,0.0001347988155528868
32,2005, WA,Kitsap County,16.0,239806.0,6.672059915098037e-05
33,2005, WA,Lewis County,13.0,72060.0,0.0001804052178739939
34,2005, WA,Pierce County,85.0,748148.0,0.00011361388388393741
35,2005, WA,Skagit County,15.0,110683.0,0.00013552216690910075
36,2005, WA,Snohomish County,94.0,654849.0,0.00014354454232960576
37,2005, WA,Spokane County,91.0,440439.0,0.00020661203935164687
38,2005, WA,Thurston County,23.0,227023.0,0.00010131132087938226
39,2005, WA,Whatcom County,16.0,185450.0,8.62766244270693e-05
40,2005, WA,Yakima County,11.0,228570.0,4.812530078312989e-05
41,2006, WA,Benton County,16.0,159564.0,0.00010027324459151187
42,2006, WA,Clallam County,15.0,69642.0,0.00021538726630481605
43,2006, WA,Clark County,48.0,401698.0,0.0001194927532624011
44,2006, WA,Cowlitz County,20.0,99162.0,0.00020169016357072264
45,2006, WA,Grant County,11.0,81036.0,0.0001357421392961153
46,2006, WA,King County,274.0,1822967.0,0.0001503044213087785
47,2006, WA,Kitsap County,14.0,245054.0,5.7130265166045036e-05
48,2006, WA,Pierce County,68.0,763408.0,8.90742564919414e-05
49,2006, WA,Skagit County,16.0,112621.0,0.00014206941866969747
50,2006, WA,Snohomish County,97.0,670706.0,0.000144623724851127
51,2006, WA,Spokane County,99.0,447517.0,0.00022122064636650676
52,2006, WA,Stevens County,13.0,42366.0,0.0003068498324127838
53,2006, WA,Thurston County,20.0,232688.0,8.595200440074262e-05
54,2006, WA,Whatcom County,22.0,188926.0,0.00011644770968527359
55,2006, WA,Yakima County,12.0,230617.0,5.203432530992945e-05
56,2007, WA,Benton County,17.0,161669.0,0.00010515312150133916
57,2007, WA,Clallam County,19.0,70186.0,0.0002707092582566324
58,2007, WA,Clark County,55.0,408820.0,0.00013453353554131403
59,2007, WA,Cowlitz County,15.0,100744.0,0.00014889224172159136
60,2007, WA,Grant County,11.0,82645.0,0.00013309940105269525
61,2007, WA,King County,258.0,1847986.0,0.00013961144727286896
62,2007, WA,Kitsap County,23.0,244105.0,9.422174883759038e-05
63,2007, WA,Lewis County,12.0,74229.0,0.00016166188416926
64,2007, WA,Pierce County,125.0,772484.0,0.00016181564925616583
